farm_id,year,n_turb,centroid_lon,centroid_lat,pc1_angle,pc1_share,aspect_ratio,spacing_d,ce_r,layout_type
0,2014,8,121.4547,32.7488,12.8,0.8737,2.22,27.77,1.144,belt
0,2015,8,121.4547,32.7488,12.8,0.8737,2.22,27.77,1.144,belt
0,2016,47,121.2883,32.7549,73.5,0.7056,0.8,5.28,0.41,multi_cluster
0,2017,170,121.241,32.7515,78.0,0.7355,0.66,3.91,0.515,multi_cluster
0,2018,227,121.2478,32.7711,70.2,0.8021,1.08,3.97,0.511,multi_cluster
0,2019,436,121.3084,32.8776,64.8,0.9019,1.18,3.55,0.584,multi_cluster
0,2020,635,121.3339,32.8602,64.4,0.8017,1.19,3.27,0.65,multi_cluster
0,2021,928,121.4239,32.8436,28.8,0.6343,1.43,3.14,0.722,multi_cluster
0,2022,928,121.4239,32.8436,28.8,0.6343,1.43,3.14,0.722,multi_cluster
0,2023,928,121.4239,32.8436,28.8,0.6343,1.43,3.14,0.722,multi_cluster
0,2024,928,121.4239,32.8436,28.8,0.6343,1.43,3.14,0.722,multi_cluster
1,2016,2,121.1275,33.4729,0.0,0.0,0.0,189.69,,sparse
1,2017,78,121.1432,33.3152,-28.0,0.5398,0.63,4.89,0.992,multi_cluster
1,2018,238,121.1655,33.3859,111.1,0.8295,1.98,3.54,0.872,multi_cluster
1,2019,325,121.1794,33.389,110.5,0.873,2.2,3.19,0.796,belt
1,2020,455,121.1486,33.4545,110.3,0.9028,2.15,3.14,0.829,belt
1,2021,588,121.1857,33.462,114.7,0.7616,1.29,3.34,0.841,multi_cluster
1,2022,588,121.1857,33.462,114.7,0.7616,1.29,3.34,0.841,multi_cluster
1,2023,588,121.1857,33.462,114.7,0.7616,1.29,3.34,0.841,multi_cluster
1,2024,588,121.1857,33.462,114.7,0.7616,1.29,3.34,0.841,multi_cluster
2,2014,183,2.8862,51.6149,-44.8,0.8793,2.36,2.95,1.156,belt
2,2015,183,2.8862,51.6149,-44.8,0.8793,2.36,2.95,1.156,belt
2,2016,204,2.8792,51.6214,134.6,0.8842,2.46,2.97,1.194,belt
2,2017,233,2.8722,51.6248,-44.5,0.8809,2.48,2.96,1.275,belt
2,2018,274,2.8831,51.6198,-42.1,0.8795,2.38,3.08,1.429,belt
2,2019,321,2.8998,51.6078,-42.2,0.9048,2.93,3.28,1.413,belt
2,2020,572,2.9165,51.6448,-24.8,0.6232,1.07,4.46,1.524,cluster
2,2021,572,2.9165,51.6448,-24.8,0.6232,1.07,4.46,1.524,cluster
2,2022,572,2.9165,51.6448,-24.8,0.6232,1.07,4.46,1.524,cluster
2,2023,572,2.9165,51.6448,-24.8,0.6232,1.07,4.46,1.524,cluster
2,2024,572,2.9165,51.6448,-24.8,0.6232,1.07,4.46,1.524,cluster
3,2019,2,121.6193,32.6529,0.0,0.0,0.0,35.93,,sparse
3,2020,54,121.7789,32.6944,4.2,0.7775,2.19,4.31,0.799,multi_cluster
3,2021,440,121.8044,32.6831,7.1,0.8525,2.24,2.44,0.948,belt
3,2022,440,121.8044,32.6831,7.1,0.8525,2.24,2.44,0.948,belt
3,2023,440,121.8044,32.6831,7.1,0.8525,2.24,2.44,0.948,belt
3,2024,441,121.8049,32.683,7.0,0.8524,2.27,2.44,0.944,belt
4,2019,6,111.5307,21.2524,6.2,0.986,7.82,13.94,3.257,belt
4,2020,51,111.5073,21.2517,21.3,0.764,1.47,4.3,0.889,multi_cluster
4,2021,361,111.5644,21.298,8.3,0.5761,1.03,2.67,1.138,multi_cluster
4,2022,361,111.5644,21.298,8.3,0.5761,1.03,2.67,1.138,multi_cluster
4,2023,362,111.5643,21.2978,9.0,0.5745,1.03,2.67,1.132,multi_cluster
4,2024,364,111.564,21.2977,10.0,0.5766,1.08,2.69,1.121,multi_cluster
5,2018,3,1.93,53.8752,-38.5,1.0,178.88,36.94,493.918,belt
5,2019,174,1.9192,53.8834,-4.4,0.917,3.02,7.3,1.496,belt
5,2020,174,1.9192,53.8834,-4.4,0.917,3.02,7.3,1.496,belt
5,2021,334,1.7976,53.9105,-5.4,0.911,3.37,7.09,1.55,belt
5,2022,339,1.7927,53.9099,-4.9,0.9119,3.4,7.07,1.557,belt
5,2023,339,1.7927,53.9099,-4.9,0.9119,3.4,7.07,1.557,belt
5,2024,339,1.7927,53.9099,-4.9,0.9119,3.4,7.07,1.557,belt
6,2021,116,121.4459,36.4205,32.2,0.6781,1.67,2.58,0.983,multi_cluster
6,2022,116,121.4459,36.4205,32.2,0.6781,1.67,2.58,0.983,multi_cluster
6,2023,239,121.5286,36.4592,35.7,0.7663,1.61,3.23,0.935,multi_cluster
6,2024,292,121.5419,36.468,35.7,0.7876,1.61,3.32,1.065,multi_cluster
7,2014,130,6.5294,53.9958,-42.0,0.8565,2.06,4.08,1.386,belt
7,2015,130,6.5294,53.9958,-42.0,0.8565,2.06,4.08,1.386,belt
7,2016,130,6.5294,53.9958,-42.0,0.8565,2.06,4.08,1.386,belt
7,2017,132,6.529,53.996,-42.0,0.8568,2.06,4.08,1.397,belt
7,2018,253,6.5285,53.9988,113.6,0.5669,1.2,4.19,1.561,cluster
7,2019,269,6.5269,54.0032,110.4,0.6013,1.18,4.22,1.624,cluster
7,2020,284,6.5218,54.0049,121.4,0.5991,1.24,4.24,1.673,cluster
7,2021,284,6.5218,54.0049,121.4,0.5991,1.24,4.24,1.673,cluster
7,2022,284,6.5218,54.0049,121.4,0.5991,1.24,4.24,1.673,cluster
7,2023,284,6.5218,54.0049,121.4,0.5991,1.24,4.24,1.673,cluster
7,2024,284,6.5218,54.0049,121.4,0.5991,1.24,4.24,1.673,cluster
8,2021,22,111.616,20.9775,39.4,0.8857,2.35,4.01,1.096,belt
8,2022,67,111.6089,20.9716,27.8,0.8364,2.31,2.61,1.121,multi_cluster
8,2023,204,111.6063,20.9958,84.1,0.8409,2.47,3.14,1.113,multi_cluster
8,2024,278,111.5761,20.9951,79.2,0.6442,1.44,3.33,1.069,multi_cluster
9,2014,240,-3.4995,54.0304,-39.8,0.7417,1.66,4.01,1.407,cluster
9,2015,240,-3.4995,54.0304,-39.8,0.7417,1.66,4.01,1.407,cluster
9,2016,240,-3.4995,54.0304,-39.8,0.7417,1.66,4.01,1.407,cluster
9,2017,240,-3.4995,54.0304,-39.8,0.7417,1.66,4.01,1.407,cluster
9,2018,267,-3.5107,54.0305,-31.5,0.7344,1.58,4.17,1.453,cluster
9,2019,267,-3.5107,54.0305,-31.5,0.7344,1.58,4.17,1.453,cluster
9,2020,267,-3.5107,54.0305,-31.5,0.7344,1.58,4.17,1.453,cluster
9,2021,267,-3.5107,54.0305,-31.5,0.7344,1.58,4.17,1.453,cluster
9,2022,267,-3.5107,54.0305,-31.5,0.7344,1.58,4.17,1.453,cluster
9,2023,267,-3.5107,54.0305,-31.5,0.7344,1.58,4.17,1.453,cluster
