farm_id,paradigm,target_year,turbine_type,n_turb,AEP_kWh,AEP_noWake_kWh,CF,WakeLoss,precompute_time_s
153,A,2030,iea_10MW,4,143355578.17645267,157200704.7294855,0.4333602726011266,0.08807292929670925,0.6481221000001369
153,A,2030,iea_15MW,4,215142940.27070415,239737637.03955957,0.432430736996913,0.10259005249474869,0.6942670999999336
153,A,2030,iea_22MW,4,308065953.64748895,348910650.9219756,0.42142162914011316,0.11706348650165016,0.6020926000001054
153,A,2035,iea_10MW,4,143355578.17645267,157200704.7294855,0.4333602726011266,0.08807292929670925,0.7478984000001674
153,A,2035,iea_15MW,4,215142940.27070415,239737637.03955957,0.432430736996913,0.10259005249474869,0.8128778000000239
153,A,2035,iea_22MW,4,308065953.64748895,348910650.9219756,0.42142162914011316,0.11706348650165016,0.6234836999999516
153,A,2040,iea_10MW,4,143355578.17645267,157200704.7294855,0.4333602726011266,0.08807292929670925,0.6404039999999895
153,A,2040,iea_15MW,4,215142940.27070415,239737637.03955957,0.432430736996913,0.10259005249474869,0.6989210000001549
153,A,2040,iea_22MW,4,308065953.64748895,348910650.9219756,0.42142162914011316,0.11706348650165016,0.6070555999999669
162,A,2030,iea_10MW,6,228576487.29453436,242735674.5488093,0.4684712397412165,0.05833171115285654,0.7729166999999961
162,A,2030,iea_15MW,6,344518718.06280696,369442638.7291174,0.46888605539605716,0.06746357364718028,0.8310042000000522
162,A,2030,iea_22MW,6,496517221.94666916,538142709.609168,0.4598965772902047,0.07735027701616519,0.7483182999999372
162,A,2035,iea_10MW,6,228576487.29453436,242735674.5488093,0.4684712397412165,0.05833171115285654,0.7746704999999565
162,A,2035,iea_15MW,6,344518718.06280696,369442638.7291174,0.46888605539605716,0.06746357364718028,0.829365899999857
162,A,2035,iea_22MW,6,496517221.94666916,538142709.609168,0.4598965772902047,0.07735027701616519,0.7441403000000264
162,A,2040,iea_10MW,6,228576487.29453436,242735674.5488093,0.4684712397412165,0.05833171115285654,0.7915113999999903
162,A,2040,iea_15MW,6,344518718.06280696,369442638.7291174,0.46888605539605716,0.06746357364718028,0.8354254999999284
162,A,2040,iea_22MW,6,496517221.94666916,538142709.609168,0.4598965772902047,0.07735027701616519,0.7337231999999858
4,E,2030,iea_10MW,7,253113501.4911256,256136955.3826648,0.44646341081108004,0.0118040518090105,0.8410035999997945
4,E,2030,iea_15MW,7,387218629.3586038,392077660.59311914,0.4536593025073122,0.012393032612888029,0.9129133999999794
4,E,2030,iea_22MW,7,560290853.9289563,568823566.2021315,0.4469048394840899,0.015000630740645404,0.8174449999999069
4,E,2035,iea_10MW,7,253113501.4911256,256136955.3826648,0.44646341081108004,0.0118040518090105,0.8525922999999693
4,E,2035,iea_15MW,7,387218629.3586038,392077660.59311914,0.4536593025073122,0.012393032612888029,0.9064338999999109
4,E,2035,iea_22MW,7,560290853.9289563,568823566.2021315,0.4469048394840899,0.015000630740645404,0.8180462000000261
107,A,2030,iea_10MW,9,188591082.02981353,197826500.49334368,0.26975495198222554,0.0466844353031504,1.0310555000000932
107,A,2030,iea_15MW,9,285408636.12504584,303060289.0617523,0.27010834871224093,0.05824469115156733,1.0809017999999924
107,A,2030,iea_22MW,9,416716307.56575054,447392370.1179779,0.267696237088354,0.06856635159901825,0.9905111999999008
107,A,2035,iea_10MW,10,207777947.76756907,219807222.77038187,0.26747933543713837,0.05472647737048657,1.10937459999991
107,A,2035,iea_15MW,10,313545350.176685,336733654.5130581,0.2670630298340658,0.06886244967080929,1.1876251000001048
107,A,2035,iea_22MW,10,456756263.5862456,497102633.46441996,0.26407591382382783,0.08116305801277182,1.0783050000000003
4,E,2040,iea_10MW,10,360014334.72652996,365909936.26094973,0.4445170202821706,0.01611216572762132,1.0911849999999959
4,E,2040,iea_15MW,10,549950574.6253448,560110943.7044559,0.4510194567805345,0.018139922444493868,1.1779503000000204
4,E,2040,iea_22MW,10,794662776.6264421,812605094.5744736,0.4436928547009202,0.02207999687403777,1.0897267000000284
107,A,2040,iea_10MW,14,285099155.6660699,307730111.8785346,0.26215532189391455,0.07354157210782625,2.7491606000000957
107,A,2040,iea_15MW,14,427809144.4030135,471427116.3182815,0.260276785731329,0.09252325631141571,2.8117886
107,A,2040,iea_22MW,14,619815188.6908613,695943686.8501878,0.25596374666357546,0.10938887671196625,2.7030660999998872
91,C,2030,iea_10MW,19,514168686.2313839,570669518.3989259,0.34091093224555036,0.09900797282122424,3.6476169999998547
91,C,2030,iea_15MW,19,766291330.4638915,874091436.3323956,0.33680840666411366,0.12332817985361237,3.722185999999965
91,C,2030,iea_22MW,19,1090119450.904479,1275594415.124392,0.3257483475026741,0.14540277224546022,3.63629990000004
129,A,2030,iea_10MW,21,1092775851.869136,1112020024.5297768,0.6165514849182668,0.017305599032515814,4.100885999999946
129,A,2030,iea_15MW,21,1644960958.9696708,1682120969.5726407,0.6170504882953325,0.022091164235596414,4.2210949000000255
129,A,2030,iea_22MW,21,2380146223.986077,2447875112.6765532,0.6082445872077352,0.027668441228776725,4.087934299999915
83,C,2030,iea_10MW,21,657294427.3368717,829040500.6412629,0.39178538784690364,0.20716246452561188,4.053721799999948
83,C,2030,iea_15MW,21,954162119.870369,1259712582.4530792,0.3767988673748685,0.24255569630629706,4.081170800000109
83,C,2030,iea_22MW,21,1332164230.0449486,1838470493.2743037,0.35810635362700577,0.27539537081589327,3.980721200000062
91,C,2035,iea_10MW,24,640255822.1865988,720845707.4512748,0.3360711252764124,0.11179907771057014,4.671672800000124
91,C,2035,iea_15MW,24,949859417.0961483,1104115498.5251312,0.330514641215412,0.1397100952165213,4.726284600000099
91,C,2035,iea_22MW,24,1345335336.2970061,1611277155.9466004,0.3182592544930805,0.16505032586610316,4.617051599999968
129,A,2035,iea_10MW,27,1399205846.0510483,1429740031.5382843,0.6140099377089031,0.021356459785478423,5.299479999999903
129,A,2035,iea_15MW,27,2103171418.7595673,2162726960.8791094,0.613614066972593,0.02753724496749875,5.374969199999896
129,A,2035,iea_22MW,27,3039903764.823519,3147268002.012711,0.6042128814360685,0.03411347146812132,5.230859799999962
83,C,2035,iea_10MW,27,795010349.0153941,1065909215.1101952,0.36856712656541357,0.2541481603260135,5.22705360000009
83,C,2035,iea_15MW,27,1140575915.3211246,1619630463.153959,0.3503217847933069,0.2957801540111539,5.265027799999871
83,C,2035,iea_22MW,27,1574177105.5278354,2363747777.066962,0.3291269010538895,0.3340333851181276,5.112402999999858
14,A,2030,iea_10MW,28,880311323.8447323,904738982.4239917,0.42150006887400276,0.026999675103876266,5.453061499999876
14,A,2030,iea_15MW,28,1334495544.420196,1379817714.2197618,0.4233107305965374,0.032846490759247775,5.566153299999996
14,A,2030,iea_22MW,28,1933190180.6651144,2015383152.4284058,0.4163852657334454,0.040782801852964866,5.452430499999991
112,B,2030,iea_10MW,32,635084235.0772398,746443797.8118554,0.25362788940784337,0.1491868015529876,6.271198599999934
112,B,2030,iea_15MW,32,929790662.6351092,1143369963.094331,0.24591391144976651,0.1867980683008383,6.363086000000067
112,B,2030,iea_22MW,32,1316242447.2747967,1683100307.6919787,0.23657630863617612,0.21796553582730377,6.1946045999998205
91,C,2040,iea_10MW,32,850199039.0789495,961127609.9350331,0.3347029474832095,0.11541502887798821,6.313690199999883
91,C,2040,iea_15MW,32,1259028942.9042814,1472153998.0335085,0.32857033250456213,0.14477089721178485,6.405279900000096
91,C,2040,iea_22MW,32,1780528457.4573426,2148369541.2621336,0.3159080365608859,0.17121872040165403,6.242880199999945
14,A,2035,iea_10MW,36,1122385555.7766695,1163235834.5451324,0.4179833295261018,0.03511779602666457,7.202401499999951
14,A,2035,iea_15MW,36,1696954263.2934258,1774051346.8539796,0.418666119769228,0.043458202998055376,7.3109194999999545
14,A,2035,iea_22MW,36,2451489515.3347363,2591206910.265093,0.4106826382664941,0.05391981411320902,7.177752300000066
129,A,2040,iea_10MW,36,1856520469.8882287,1906320042.051046,0.6110191119958626,0.026123405862762128,7.237643399999797
129,A,2040,iea_15MW,36,2784848835.309619,2883635947.8388124,0.6093734459170024,0.03425783084831877,7.3463969000001725
129,A,2040,iea_22MW,36,4017893670.950857,4196357336.0169477,0.5989490046496334,0.04252823360259467,7.1834828999999445
112,B,2035,iea_10MW,36,712363214.473095,839749272.5383372,0.25288009033478703,0.15169534792234857,7.17341569999985
112,B,2035,iea_15MW,36,1041788129.9125006,1286291208.4811223,0.24492030945991392,0.1900837671566889,7.400912800000015
112,B,2035,iea_22MW,36,1473901044.263931,1893487846.1534762,0.23547844704541476,0.22159466338372033,9.588129399999843
112,B,2040,iea_10MW,36,712363214.473095,839749272.5383372,0.25288009033478703,0.15169534792234857,7.561763100000007
112,B,2040,iea_15MW,36,1041788129.9125006,1286291208.4811223,0.24492030945991392,0.1900837671566889,7.2692669999999
112,B,2040,iea_22MW,36,1473901044.263931,1893487846.1534762,0.23547844704541476,0.22159466338372033,7.11270710000008
83,C,2040,iea_10MW,36,1023372098.8603183,1421212286.8135939,0.35582679617123486,0.2799301635966339,7.1759344000001875
83,C,2040,iea_15MW,36,1453458195.1116645,2159507284.205279,0.3348164261981324,0.3269491583833429,7.1808522999999695
83,C,2040,iea_22MW,36,1982545673.578616,3151663702.755949,0.3108810524486381,0.37095265848161607,7.023338299999978
14,A,2040,iea_10MW,48,1488591221.1629846,1550981112.726843,0.4157704398386135,0.04022608080260133,10.049891799999841
14,A,2040,iea_15MW,48,2247687077.654493,2365401795.805306,0.4159056232152228,0.049765210443131876,10.207202099999904
14,A,2040,iea_22MW,48,3240296975.749804,3454942547.0201235,0.40711994762075326,0.0621271029399463,10.15380110000001
73,A,2030,iea_10MW,57,2570200731.936572,2877920251.1554337,0.5402089482588707,0.1069242690430069,12.21428539999988
73,A,2030,iea_15MW,57,3764477900.257721,4369054247.67061,0.5260332292659975,0.13837693769429008,12.287089299999934
73,A,2030,iea_22MW,57,5287779531.489359,6350754497.424169,0.502949676634898,0.16737774485944096,12.684697099999994
73,A,2035,iea_10MW,57,2570200731.936572,2877920251.1554337,0.5402089482588707,0.1069242690430069,12.393057200000158
73,A,2035,iea_15MW,57,3764477900.257721,4369054247.67061,0.5260332292659975,0.13837693769429008,12.26844200000005
73,A,2035,iea_22MW,57,5287779531.489359,6350754497.424169,0.502949676634898,0.16737774485944096,13.130176799999845
73,A,2040,iea_10MW,57,2570200731.936572,2877920251.1554337,0.5402089482588707,0.1069242690430069,12.500879299999951
73,A,2040,iea_15MW,57,3764477900.257721,4369054247.67061,0.5260332292659975,0.13837693769429008,13.074557900000173
73,A,2040,iea_22MW,57,5287779531.489359,6350754497.424169,0.502949676634898,0.16737774485944096,12.996360099999947
21,A,2030,iea_10MW,60,2489912664.7595687,2578852229.9196815,0.5260971654748919,0.03448804244316197,13.950470199999927
21,A,2030,iea_15MW,60,3746900744.0100913,3914526386.2995462,0.5253941253028901,0.042821436298431416,13.938035599999921
21,A,2030,iea_22MW,60,5405480838.246739,5709560979.707873,0.5149077380983296,0.053258060040317155,13.041107700000111
151,A,2030,iea_10MW,60,1164141575.1309342,1822476579.9852414,0.2601898831368589,0.3612309821065785,12.890110800000002
151,A,2030,iea_15MW,60,1607623243.3869436,2776298120.664325,0.23724904345965137,0.4209471845184032,12.910921800000096
151,A,2030,iea_22MW,60,2133059193.4391713,4069958841.4916406,0.21375052042640405,0.47590153205151214,13.459398599999986
151,A,2035,iea_10MW,72,1304907499.916254,2186971895.9822903,0.24304298346003272,0.4033268089482477,16.2561326
151,A,2035,iea_15MW,72,1784047435.8493059,3331557744.79719,0.21940440615414297,0.4645005212245209,16.287474799999927
151,A,2035,iea_22MW,72,2346803783.278212,4883950609.7899685,0.19597460912683481,0.519486585598552,17.24448480000001
