farm_id,n_turb,country,layout_type,spacing_d,wl_mean_pct,cf_mean_pct
0,928,China,multi_cluster,3.14,9.428392222674601,38.787916365403014
1,588,China,multi_cluster,3.34,12.089866167614623,37.55504852829843
2,572,Belgium,cluster,4.46,20.38679119748999,45.87644433696443
3,441,China,belt,2.44,11.268000352394953,38.08578122581268
4,364,China,multi_cluster,2.69,14.746162646880624,36.75581483393229
5,339,United Kingdom,belt,7.07,5.323392131952946,56.92188244817443
6,292,China,multi_cluster,3.32,12.439852328302672,34.1218482232254
7,284,Netherlands,cluster,4.24,14.249589962000522,51.97473853754618
8,278,China,multi_cluster,3.33,12.594382495170404,41.07797939206469
9,267,United Kingdom,cluster,4.17,16.478906261592616,48.17136251252002
10,246,United Kingdom,cluster,6.16,6.441019101619348,56.50652715662422
11,246,Germany,cluster,3.48,15.231524035585892,52.04990642161579
12,244,China,belt,2.75,11.234952845871495,40.524665142979046
13,215,United Kingdom,cluster,3.5,24.00021335138082,39.504552719656886
14,181,China,multi_cluster,3.7,12.061051216160926,36.731184474447815
15,182,Netherlands,cluster,6.02,15.587878604650642,46.768677537275934
16,178,Netherlands,belt,4.49,9.694842499058874,55.46508532274118
17,175,United Kingdom,cluster,3.71,18.579026243263687,44.64218760852401
18,174,Germany,belt,4.76,11.728663657357096,53.56057944736302
19,171,China,cluster,3.12,14.700506939545946,32.77083569925636
20,167,Netherlands,cluster,3.83,13.948284527941631,53.16379853067489
21,162,China,multi_cluster,2.34,5.263655844631905,50.17113880052353
22,161,Germany,belt,3.14,22.161632835419276,43.27997502406269
23,156,Netherlands,belt,4.58,13.839519015074831,52.32587537706045
24,156,China,cluster,3.62,20.48699372263714,28.772156429388566
25,152,Sweden,belt,5.07,15.769531003333762,50.00526400407942
26,140,United Kingdom,cluster,5.22,11.629340780410079,50.547816370568036
27,138,Denmark,cluster,4.51,14.753086846215243,53.25390427783616
28,134,China,belt,2.65,11.932307253600726,40.630813811316386
29,131,Sweden,cluster,3.84,14.850117301569366,50.34339421704899
30,129,United Kingdom,cluster,3.03,20.099509755269278,44.50417922793461
31,129,Netherlands,cluster,4.78,23.35145392593999,44.20145965224061
32,128,China,multi_cluster,2.45,10.766225735545245,34.41630202176735
33,109,China,cluster,5.12,9.018634191109989,35.96845652276668
34,125,China,cluster,3.04,5.0178292410613485,63.22027883079729
35,120,China,cluster,3.09,15.36833064950906,37.33371383775167
36,116,United Kingdom,belt,3.92,17.96288893534829,43.82632455609066
37,114,China,belt,3.58,13.254869053659391,28.981488651404007
38,115,China,belt,2.79,15.44931801068659,37.309153791037986
39,114,Taiwan,multi_cluster,3.79,6.288860338614706,48.421942621626044
40,114,United Kingdom,cluster,7.45,3.9601390982102176,58.95213325924911
41,102,China,multi_cluster,2.95,9.218214727274319,43.62382742782731
