farm_id,year,n_turb,centroid_lon,centroid_lat,pc1_angle,pc1_share,aspect_ratio,spacing_d,ce_r,layout_type,WPD_hist,WCI_hist,theta_energy_hist,WPD_yearly,WCI_yearly,theta_energy_yearly,WNS_hist,is_new_farm,is_expansion,expansion_direction_deg,new_turbines,AxisMismatch,CrosswindAlign,ExpansionMismatch,country,spacing_d_regional_early_median,spacing_d_ratio
0,2014,8,121.4547,32.7488,12.8,0.8737,2.22,27.77,1.144,belt,,,,,,,,True,False,,8,,,,China,4.08,6.806372549019607
0,2015,8,121.4547,32.7488,12.8,0.8737,2.22,27.77,1.144,belt,,,,,,,,False,False,,0,,,,China,4.08,6.806372549019607
0,2016,47,121.2883,32.7549,73.5,0.7056,0.8,5.28,0.41,multi_cluster,,,,209.6,0.2433,271.0,,False,True,272.0994460331189,39,,,,China,4.08,1.2941176470588236
0,2017,170,121.241,32.7515,78.0,0.7355,0.66,3.91,0.515,multi_cluster,,,,231.1,0.261,271.9,,False,True,265.88855880192284,123,,,,China,4.08,0.9583333333333334
0,2018,227,121.2478,32.7711,70.2,0.8021,1.08,3.97,0.511,multi_cluster,,,,234.3,0.2749,264.6,,False,True,19.13364320590398,57,,,,China,4.08,0.9730392156862745
0,2019,436,121.3084,32.8776,64.8,0.9019,1.18,3.55,0.584,multi_cluster,,,,229.5,0.2462,274.3,,False,True,29.64048582271073,209,,,,China,4.08,0.8700980392156862
0,2020,635,121.3339,32.8602,64.4,0.8017,1.19,3.27,0.65,multi_cluster,,,,212.8,0.2167,275.8,,False,True,124.30778784472557,199,,,,China,4.08,0.8014705882352942
0,2021,928,121.4239,32.8436,28.8,0.6343,1.43,3.14,0.722,multi_cluster,,,,236.3,0.1574,270.2,,False,True,100.45043746378724,293,,,,China,4.08,0.7696078431372549
0,2022,928,121.4239,32.8436,28.8,0.6343,1.43,3.14,0.722,multi_cluster,,,,230.4,0.2243,266.6,,False,False,,0,,,,China,4.08,0.7696078431372549
0,2023,928,121.4239,32.8436,28.8,0.6343,1.43,3.14,0.722,multi_cluster,,,,219.2,0.2805,267.2,,False,False,,0,,,,China,4.08,0.7696078431372549
0,2024,928,121.4239,32.8436,28.8,0.6343,1.43,3.14,0.722,multi_cluster,,,,192.9,0.2449,272.7,,False,False,,0,,,,China,4.08,0.7696078431372549
1,2016,2,121.1275,33.4729,0.0,0.0,0.0,189.69,,sparse,,,,,,,,False,False,,2,,,,China,4.08,46.49264705882353
1,2017,78,121.1432,33.3152,-28.0,0.5398,0.63,4.89,0.992,multi_cluster,,,,312.5,0.1815,305.3,,True,False,,78,,,,China,4.08,1.1985294117647058
1,2018,238,121.1655,33.3859,111.1,0.8295,1.98,3.54,0.872,multi_cluster,,,,313.3,0.0643,318.7,,False,True,17.506173689096443,160,,,,China,4.08,0.8676470588235294
1,2019,325,121.1794,33.389,110.5,0.873,2.2,3.19,0.796,belt,,,,341.9,0.1684,301.1,,False,True,77.42755499576486,87,,,,China,4.08,0.7818627450980392
1,2020,455,121.1486,33.4545,110.3,0.9028,2.15,3.14,0.829,belt,,,,334.9,0.1762,300.3,,False,True,334.81572929308294,130,,,,China,4.08,0.7696078431372549
1,2021,588,121.1857,33.462,114.7,0.7616,1.29,3.34,0.841,multi_cluster,,,,359.0,0.081,295.1,,False,True,78.5713199664404,133,,,,China,4.08,0.8186274509803921
1,2022,588,121.1857,33.462,114.7,0.7616,1.29,3.34,0.841,multi_cluster,,,,358.6,0.1433,306.9,,False,False,,0,,,,China,4.08,0.8186274509803921
1,2023,588,121.1857,33.462,114.7,0.7616,1.29,3.34,0.841,multi_cluster,,,,359.2,0.1321,328.0,,False,False,,0,,,,China,4.08,0.8186274509803921
1,2024,588,121.1857,33.462,114.7,0.7616,1.29,3.34,0.841,multi_cluster,,,,364.3,0.1149,335.6,,False,False,,0,,,,China,4.08,0.8186274509803921
2,2014,183,2.8862,51.6149,-44.8,0.8793,2.36,2.95,1.156,belt,,,,,,,,True,False,,183,,,,Belgium,2.96,0.9966216216216217
2,2015,183,2.8862,51.6149,-44.8,0.8793,2.36,2.95,1.156,belt,,,,,,,,False,False,,0,,,,Belgium,2.96,0.9966216216216217
2,2016,204,2.8792,51.6214,134.6,0.8842,2.46,2.97,1.194,belt,,,,,,,,False,True,312.87890360334956,21,,,,Belgium,2.96,1.0033783783783785
2,2017,233,2.8722,51.6248,-44.5,0.8809,2.48,2.96,1.275,belt,,,,,,,,False,True,295.90650799950856,29,,,,Belgium,2.96,1.0
2,2018,274,2.8831,51.6198,-42.1,0.8795,2.38,3.08,1.429,belt,,,,,,,,False,True,114.64166199956873,41,,,,Belgium,2.96,1.0405405405405406
2,2019,321,2.8998,51.6078,-42.2,0.9048,2.93,3.28,1.413,belt,,,,320.8,0.1682,304.8,,False,True,125.69962133900242,47,,,,Belgium,2.96,1.1081081081081081
2,2020,572,2.9165,51.6448,-24.8,0.6232,1.07,4.46,1.524,cluster,,,,312.6,0.1831,305.1,,False,True,24.292100878348094,251,,,,Belgium,2.96,1.5067567567567568
2,2021,572,2.9165,51.6448,-24.8,0.6232,1.07,4.46,1.524,cluster,,,,336.6,0.0701,299.4,,False,False,,0,,,,Belgium,2.96,1.5067567567567568
2,2022,572,2.9165,51.6448,-24.8,0.6232,1.07,4.46,1.524,cluster,,,,333.9,0.1503,312.5,,False,False,,0,,,,Belgium,2.96,1.5067567567567568
2,2023,572,2.9165,51.6448,-24.8,0.6232,1.07,4.46,1.524,cluster,,,,334.7,0.1328,333.1,,False,False,,0,,,,Belgium,2.96,1.5067567567567568
2,2024,572,2.9165,51.6448,-24.8,0.6232,1.07,4.46,1.524,cluster,,,,339.0,0.122,340.6,,False,False,,0,,,,Belgium,2.96,1.5067567567567568
3,2019,2,121.6193,32.6529,0.0,0.0,0.0,35.93,,sparse,,,,331.3,0.2269,223.1,,False,False,,2,,,,China,4.08,8.806372549019608
3,2020,54,121.7789,32.6944,4.2,0.7775,2.19,4.31,0.799,multi_cluster,,,,296.4,0.1369,253.3,,True,False,,54,,,,China,4.08,1.0563725490196076
3,2021,440,121.8044,32.6831,7.1,0.8525,2.24,2.44,0.948,belt,,,,354.6,0.1294,320.3,,False,True,113.89991625152408,386,,,,China,4.08,0.5980392156862745
3,2022,440,121.8044,32.6831,7.1,0.8525,2.24,2.44,0.948,belt,,,,322.7,0.1507,229.1,,False,False,,0,,,,China,4.08,0.5980392156862745
3,2023,440,121.8044,32.6831,7.1,0.8525,2.24,2.44,0.948,belt,,,,348.1,0.1936,37.7,,False,False,,0,,,,China,4.08,0.5980392156862745
3,2024,441,121.8049,32.683,7.0,0.8524,2.27,2.44,0.944,belt,,,,352.9,0.1231,74.3,,False,True,101.30993247433338,1,,,,China,4.08,0.5980392156862745
4,2019,6,111.5307,21.2524,6.2,0.986,7.82,13.94,3.257,belt,235.9,0.2169,146.2,250.5,0.2543,91.3,39.89,True,False,,6,140.0,40.0,,China,4.08,3.4166666666666665
4,2020,51,111.5073,21.2517,21.3,0.764,1.47,4.3,0.889,multi_cluster,235.9,0.2169,146.2,221.7,0.1721,197.3,39.89,False,True,268.28653468262917,45,124.89999999999999,55.10000000000001,122.08653468262918,China,4.08,1.053921568627451
4,2021,361,111.5644,21.298,8.3,0.5761,1.03,2.67,1.138,multi_cluster,235.9,0.2169,146.2,266.9,0.1837,2.1,39.89,False,True,50.962850873724335,310,137.89999999999998,42.10000000000002,95.23714912627565,China,4.08,0.6544117647058824
4,2022,361,111.5644,21.298,8.3,0.5761,1.03,2.67,1.138,multi_cluster,235.9,0.2169,146.2,239.9,0.1863,218.3,39.89,False,False,,0,137.89999999999998,42.10000000000002,,China,4.08,0.6544117647058824
4,2023,362,111.5643,21.2978,9.0,0.5745,1.03,2.67,1.132,multi_cluster,235.9,0.2169,146.2,255.2,0.2305,349.3,39.89,False,True,206.5650511778922,1,137.2,42.80000000000001,60.36505117789221,China,4.08,0.6544117647058824
4,2024,364,111.564,21.2977,10.0,0.5766,1.08,2.69,1.121,multi_cluster,235.9,0.2169,146.2,243.4,0.1868,92.1,39.89,False,True,251.56505117768864,2,136.2,43.80000000000001,105.36505117768866,China,4.08,0.6593137254901961
5,2018,3,1.93,53.8752,-38.5,1.0,178.88,36.94,493.918,belt,190.8,0.1883,183.5,205.0,0.1638,103.1,41.66,True,False,,3,138.0,42.0,,United Kingdom,3.57,10.34733893557423
5,2019,174,1.9192,53.8834,-4.4,0.917,3.02,7.3,1.496,belt,190.8,0.1883,183.5,203.8,0.2262,39.3,41.66,False,True,307.2079219217892,171,172.1,7.900000000000006,123.7079219217892,United Kingdom,3.57,2.044817927170868
5,2020,174,1.9192,53.8834,-4.4,0.917,3.02,7.3,1.496,belt,190.8,0.1883,183.5,181.0,0.1331,257.2,41.66,False,False,,0,172.1,7.900000000000006,,United Kingdom,3.57,2.044817927170868
5,2021,334,1.7976,53.9105,-5.4,0.911,3.37,7.09,1.55,belt,190.8,0.1883,183.5,217.7,0.1556,359.0,41.66,False,True,282.563725905819,160,171.1,8.900000000000006,99.06372590581901,United Kingdom,3.57,1.9859943977591037
5,2022,339,1.7927,53.9099,-4.9,0.9119,3.4,7.07,1.557,belt,190.8,0.1883,183.5,200.0,0.157,227.0,41.66,False,True,263.01894259318647,5,171.6,8.400000000000006,79.51894259318647,United Kingdom,3.57,1.9803921568627452
